,date,Number Plate
0,Wed Oct  4 10:32:26 2023,"HR26DK8337,
",date,Number Plate
0,Wed Oct  4 11:51:30 2023,"HR26DK8337
"
,date,Number Plate
0,Wed Oct  4 11:52:50 2023,"|} HR26DK8337
"
,date,Number Plate
0,Wed Oct  4 11:53:07 2023,"i HR2Z6DK8337
"
,date,Number Plate
0,Wed Oct  4 11:55:39 2023,"|-HR26DK8337,
"
,date,Number Plate
0,Wed Oct  4 12:56:16 2023,".
"
,date,Number Plate
0,Wed Oct  4 12:56:25 2023,
,date,Number Plate
0,Wed Oct  4 12:56:44 2023,"|-HR26DK8337
"
